,Movie_Names,Movie_Rank,Movie_Release_year,Movie_rating
155,Chinatown,156,1974,8.1
156,Raging Bull,157,1980,8.1
157,V for Vendetta,158,2005,8.1
158,Gone with the Wind,159,1939,8.1
159,"Lock, Stock and Two Smoking Barrels",160,1998,8.1
160,Dial M for Murder,161,1954,8.1
161,Inside Out,162,2015,8.1
162,El secreto de sus ojos,163,2009,8.1
163,Hauru no ugoku shiro,164,2004,8.1
164,"Three Billboards Outside Ebbing, Missouri",165,2017,8.1
165,Trainspotting,166,1996,8.1
166,The Bridge on the River Kwai,167,1957,8.1
167,Prisoners,168,2013,8.1
168,Fargo,169,1996,8.1
169,Warrior,170,2011,8.1
170,John Wick: Chapter 4,171,2023,8.1
171,Gran Torino,172,2008,8.1
172,Catch Me If You Can,173,2002,8.1
173,Tonari no Totoro,174,1988,8.1
174,Million Dollar Baby,175,2004,8.1
175,Bacheha-Ye aseman,176,1997,8.1
176,Blade Runner,177,1982,8.1
177,The Gold Rush,178,1925,8.1
178,Klaus,179,2019,8.1
179,Harry Potter and the Deathly Hallows: Part 2,180,2011,8.1
180,Before Sunrise,181,1995,8.1
181,12 Years a Slave,182,2013,8.1
182,Ben-Hur,183,1959,8.1
183,On the Waterfront,184,1954,8.1
184,The Grand Budapest Hotel,185,2014,8.1
185,Gone Girl,186,2014,8.1
186,Smultronstället,187,1957,8.1
187,The General,188,1926,8.1
188,Barry Lyndon,189,1975,8.1
189,In the Name of the Father,190,1993,8.1
190,The Deer Hunter,191,1978,8.1
191,The Third Man,192,1949,8.1
192,Hacksaw Ridge,193,2016,8.1
193,Le salaire de la peur,194,1953,8.1
194,Salinui chueok,195,2003,8.1
195,Relatos salvajes,196,2014,8.1
196,Sherlock Jr.,197,1924,8.1
197,Mr. Smith Goes to Washington,198,1939,8.1
198,Mad Max: Fury Road,199,2015,8.1
199,Mary and Max.,200,2009,8.1
200,Det sjunde inseglet,201,1957,8.1
201,How to Train Your Dragon,202,2010,8.1
202,"Monsters, Inc.",203,2001,8.1
203,Dead Poets Society,204,1989,8.1
204,Jaws,205,1975,8.1
205,Room,206,2015,8.1
206,The Big Lebowski,207,1998,8.1
207,Tôkyô monogatari,208,1953,8.1
208,La passion de Jeanne d'Arc,209,1928,8.1
209,Ford v Ferrari,210,2019,8.1
210,Hotel Rwanda,211,2004,8.0
211,Rocky,212,1976,8.0
212,Platoon,213,1986,8.0
213,Ratatouille,214,2007,8.0
214,Spotlight,215,2015,8.0
215,Logan,216,2017,8.0
216,The Terminator,217,1984,8.0
217,Stand by Me,218,1986,8.0
218,Rush,219,2013,8.0
219,Network,220,1976,8.0
220,Before Sunset,221,2004,8.0
221,Into the Wild,222,2007,8.0
222,The Wizard of Oz,223,1939,8.0
223,The Best Years of Our Lives,224,1946,8.0
224,The Exorcist,225,1973,8.0
225,Groundhog Day,226,1993,8.0
226,The Incredibles,227,2004,8.0
227,La haine,228,1995,8.0
228,To Be or Not to Be,229,1942,8.0
229,Pirates of the Caribbean: The Curse of the Black Pearl,230,2003,8.0
230,Pather Panchali,231,1955,8.0
231,Hachi: A Dog's Tale,232,2009,8.0
232,La battaglia di Algeri,233,1966,8.0
233,The Grapes of Wrath,234,1940,8.0
234,Jai Bhim,235,2021,8.0
235,Babam ve Oglum,236,2005,8.0
236,Amores perros,237,2000,8.0
237,Rebecca,238,1940,8.0
238,Cool Hand Luke,239,1967,8.0
239,Ah-ga-ssi,240,2016,8.0
240,Les quatre cents coups,241,1959,8.0
241,The Sound of Music,242,1965,8.0
242,It Happened One Night,243,1934,8.0
243,Persona,244,1966,8.0
244,Life of Brian,245,1979,8.0
245,The Iron Giant,246,1999,8.0
246,The Help,247,2011,8.0
247,Aladdin,248,1992,8.0
248,Dersu Uzala,249,1975,8.0
249,Dances with Wolves,250,1990,8.0
